epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2268.96,1.56129,2.35705,1.98923,1.84416,0,0.65883,0.41372,0.42324,0.22296,0.67321,0.41503,0.42275,0.22576,1.62764,1.94871,2.10809,1.92562,0,0.00086635,0.00086635,0.00086635
29,2349.22,1.54776,2.38562,2.00756,1.83158,0,0.52056,0.50094,0.49223,0.27868,0.5477,0.51769,0.51354,0.28495,1.57719,1.80151,1.9696,1.90105,0,0.0008614,0.0008614,0.0008614
30,2429.36,1.52683,2.33519,1.96183,1.82067,0,0.59505,0.49963,0.51351,0.29611,0.59768,0.48285,0.50029,0.29012,1.60106,1.8931,1.94245,1.91726,0,0.00085645,0.00085645,0.00085645
31,2509.47,1.52418,2.3518,1.98249,1.80869,0,0.51248,0.5037,0.50807,0.28525,0.48847,0.49689,0.49503,0.27629,1.59422,1.80991,1.91754,1.89333,0,0.0008515,0.0008515,0.0008515
32,2589.89,1.4906,2.32629,1.92557,1.79403,0,0.58392,0.50894,0.51287,0.29243,0.56055,0.49553,0.50334,0.29408,1.57475,1.79888,1.90548,1.85223,0,0.00084655,0.00084655,0.00084655
33,2670.83,1.50251,2.34128,1.90816,1.77841,0,0.55351,0.51145,0.49368,0.28687,0.63491,0.45453,0.49991,0.28889,1.51007,1.8852,1.87988,1.83846,0,0.0008416,0.0008416,0.0008416
34,2751.27,1.50776,2.34802,1.91426,1.79259,0,0.66039,0.48884,0.51327,0.29679,0.66298,0.4905,0.5178,0.30546,1.59538,1.80668,1.86077,1.88347,0,0.00083665,0.00083665,0.00083665
35,2831.11,1.4911,2.30848,1.89596,1.77657,0,0.59105,0.49556,0.53025,0.32062,0.55851,0.48412,0.50679,0.30224,1.50576,1.7485,1.84905,1.818,0,0.0008317,0.0008317,0.0008317
36,2911.8,1.49304,2.283,1.88322,1.77521,0,0.67597,0.52322,0.56869,0.3193,0.62202,0.50733,0.53349,0.30352,1.53231,1.78933,1.84734,1.80768,0,0.00082675,0.00082675,0.00082675
37,2992.11,1.48432,2.32881,1.89916,1.76129,0,0.62242,0.52329,0.54318,0.32233,0.57517,0.49773,0.51622,0.29789,1.53098,1.85056,1.89847,1.86201,0,0.0008218,0.0008218,0.0008218
