epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6521,3.48521,4.77527,4.71994,3.61725,0,0.00095,0.09462,0.00051,0.00011,0.00086,0.06652,0.00338,0.00067,4.00499,4.21427,4.78518,3.93675,0,0.000331522,0.000331522,0.0671793
2,196.262,3.04318,3.79508,3.91414,3.22998,0,0.42957,0.03542,0.01628,0.00441,0.00195,0.20345,0.00463,0.00127,3.24042,3.51616,4.12082,3.52125,0,0.000661564,0.000661564,0.0341761
3,292.523,2.68777,3.44484,3.59747,2.94678,0,0.21443,0.06752,0.01282,0.00335,0.00245,0.04624,0.00174,0.00034,2.92462,3.98292,4.37323,3.21186,0,0.000988306,0.000988306,0.00116947
4,388.797,2.54231,3.26023,3.44498,2.79536,0,0.3532,0.14538,0.09159,0.03316,0.36627,0.15216,0.09863,0.04308,2.66164,2.75813,3.57064,3.02263,0,0.00098515,0.00098515,0.00098515
5,485.043,2.4049,3.13415,3.21747,2.67712,0,0.1523,0.23907,0.10511,0.0331,0.16041,0.24895,0.11145,0.04358,2.49932,2.64739,3.6327,2.90507,0,0.0009802,0.0009802,0.0009802
6,581.31,2.32097,3.02799,3.11972,2.59425,0,0.43493,0.16656,0.10524,0.03745,0.44647,0.16917,0.10635,0.03915,2.44999,2.77056,3.3729,2.91397,0,0.00097525,0.00097525,0.00097525
7,677.634,2.22021,2.96882,2.95099,2.50362,0,0.39173,0.26347,0.17923,0.0648,0.51701,0.2537,0.18884,0.08479,2.46961,2.56662,3.41714,2.78365,0,0.0009703,0.0009703,0.0009703
8,773.896,2.12411,2.89571,2.8142,2.42038,0,0.52657,0.23101,0.20638,0.08092,0.53213,0.28643,0.21167,0.09419,2.22031,2.33189,2.95903,2.67534,0,0.00096535,0.00096535,0.00096535
9,870.075,2.07186,2.84243,2.71964,2.3489,0,0.18289,0.27848,0.20088,0.09748,0.24484,0.29935,0.22719,0.10838,2.22206,2.31967,2.88068,2.61762,0,0.0009604,0.0009604,0.0009604
10,966.407,2.01653,2.80113,2.63058,2.29606,0,0.31786,0.41057,0.28859,0.11938,0.29338,0.35328,0.26753,0.13183,2.13045,2.21212,2.72407,2.47924,0,0.00095545,0.00095545,0.00095545
11,1062.74,1.97163,2.72746,2.58613,2.24635,0,0.61223,0.24556,0.2497,0.10493,0.59033,0.27574,0.27139,0.13403,2.15115,2.18073,2.96523,2.55459,0,0.0009505,0.0009505,0.0009505
12,1158.95,1.91884,2.67132,2.47558,2.19832,0,0.32822,0.38757,0.30754,0.14719,0.31813,0.35448,0.29754,0.15795,2.01348,2.17563,2.57524,2.35472,0,0.00094555,0.00094555,0.00094555
13,1255.36,1.90162,2.70061,2.4658,2.17745,0,0.56303,0.35257,0.28152,0.11616,0.58063,0.34916,0.31387,0.12941,2.14239,2.15798,2.82566,2.49359,0,0.0009406,0.0009406,0.0009406
14,1351.64,1.85914,2.65994,2.42909,2.13891,0,0.35141,0.40446,0.3234,0.16492,0.50125,0.37821,0.36034,0.18,1.93722,2.04735,2.5921,2.30025,0,0.00093565,0.00093565,0.00093565
15,1447.99,1.83826,2.61591,2.35475,2.11418,0,0.53077,0.33685,0.37844,0.17398,0.48153,0.35126,0.37898,0.19401,1.90099,2.11104,2.43443,2.2861,0,0.0009307,0.0009307,0.0009307
16,1544.22,1.77947,2.54731,2.27437,2.05826,0,0.38044,0.39562,0.33467,0.16154,0.39152,0.40536,0.3531,0.17398,1.99882,2.02223,2.51633,2.30837,0,0.00092575,0.00092575,0.00092575
17,1640.25,1.74576,2.55422,2.22421,2.02857,0,0.37522,0.33553,0.33031,0.16048,0.37628,0.34567,0.34093,0.17937,1.85345,1.93718,2.49712,2.22165,0,0.0009208,0.0009208,0.0009208
18,1736.36,1.74418,2.53516,2.21774,2.02287,0,0.33515,0.4666,0.37297,0.19289,0.33457,0.47722,0.38019,0.2055,1.83069,1.94862,2.5299,2.18542,0,0.00091585,0.00091585,0.00091585
19,1832.45,1.72834,2.56543,2.20892,1.9967,0,0.65651,0.42991,0.42865,0.21928,0.66762,0.43072,0.44098,0.23254,1.79038,1.95181,2.20447,2.12609,0,0.0009109,0.0009109,0.0009109
20,1928.71,1.70214,2.47929,2.14607,1.96774,0,0.48156,0.4888,0.46306,0.23541,0.46118,0.47398,0.44526,0.24192,1.78766,2.04413,2.23561,2.13546,0,0.00090595,0.00090595,0.00090595
21,2025.01,1.6768,2.4737,2.10516,1.94337,0,0.70727,0.3146,0.36791,0.18015,0.57938,0.35737,0.38322,0.18925,1.90799,1.90231,2.49726,2.2667,0,0.000901,0.000901,0.000901
22,2121.14,1.62606,2.41636,2.03502,1.90284,0,0.51629,0.44975,0.45443,0.23683,0.78194,0.35505,0.44507,0.24781,1.75563,1.80623,2.11951,2.06616,0,0.00089605,0.00089605,0.00089605
23,2217.32,1.63443,2.41875,2.06043,1.91296,0,0.64479,0.4256,0.46601,0.25543,0.57854,0.45674,0.47612,0.26423,1.77653,1.97389,2.13889,2.0761,0,0.0008911,0.0008911,0.0008911
24,2313.51,1.61752,2.40814,2.00697,1.88687,0,0.52049,0.4757,0.45489,0.24028,0.52851,0.47591,0.44696,0.23743,1.73782,1.86348,2.10074,2.02678,0,0.00088615,0.00088615,0.00088615
25,2409.59,1.5747,2.34644,1.95667,1.86421,0,0.48434,0.46957,0.44877,0.24274,0.4666,0.46015,0.44708,0.2397,1.67339,1.97982,2.19446,2.03127,0,0.0008812,0.0008812,0.0008812
26,2505.53,1.58616,2.35211,1.95306,1.87229,0,0.7231,0.44623,0.50673,0.28328,0.72469,0.45435,0.51358,0.28869,1.57299,1.75308,2.13907,1.96481,0,0.00087625,0.00087625,0.00087625
27,2601.61,1.56498,2.38125,1.92254,1.84069,0,0.5337,0.45765,0.48453,0.26985,0.57459,0.46913,0.49634,0.27319,1.71804,1.90181,2.05637,2.02351,0,0.0008713,0.0008713,0.0008713
