x,class-0,class-1,class-2,class-3,class-4,mean
0.27,0.508818,0.656166,0.649288,0.765657,0.590983,0.6374404545454545
0.28,0.519142,0.660059,0.651105,0.768521,0.60454,0.6411207272727272
0.29,0.52415,0.668664,0.652922,0.771385,0.617039,0.6454972727272726
0.3,0.530507,0.677346,0.654739,0.774198,0.615128,0.6500008181818181
0.31,0.533024,0.68678,0.656556,0.77559,0.609546,0.6548199090909089
0.32,0.534099,0.696214,0.665261,0.776959,0.607279,0.6596746363636363
0.33,0.535174,0.71651,0.678374,0.778328,0.605607,0.6645113636363637
0.34,0.536691,0.729928,0.717985,0.779697,0.603935,0.6689767272727273
0.35,0.542106,0.742107,0.711228,0.781066,0.598784,0.6731268181818182
0.36,0.547616,0.748091,0.706823,0.782436,0.613417,0.6770770909090909
0.37,0.550029,0.754015,0.703118,0.783805,0.633574,0.6807865454545454
0.38,0.552732,0.759939,0.700378,0.785174,0.638706,0.6841095454545455
0.39,0.55912,0.765863,0.702766,0.786543,0.63467,0.6868412727272728
0.4,0.565882,0.76531,0.705154,0.787912,0.638155,0.6886947272727273
0.41,0.565239,0.763741,0.707542,0.789282,0.643383,0.6905525454545455
0.42,0.563187,0.762172,0.70993,0.790651,0.639575,0.692409090909091
0.43,0.561402,0.760602,0.712319,0.79202,0.636231,0.6940922727272727
0.44,0.563868,0.759033,0.714707,0.793389,0.633241,0.6963331818181818
0.45,0.566271,0.761988,0.717095,0.794758,0.630063,0.6989222727272728
0.46,0.56865,0.766555,0.719483,0.796128,0.626652,0.701949
0.47,0.574602,0.771122,0.721871,0.797497,0.635403,0.7056326363636364
0.48,0.580846,0.775689,0.725044,0.798866,0.636671,0.7104799090909091
0.49,0.587212,0.780255,0.74269,0.806069,0.643953,0.715377090909091
0.5,0.588494,0.784822,0.751287,0.831063,0.635695,0.7202577272727273
0.51,0.596017,0.793208,0.753483,0.839965,0.646211,0.725387
0.52,0.603758,0.80252,0.75568,0.848867,0.66096,0.7305896363636364
0.53,0.617754,0.811832,0.757876,0.8575,0.687152,0.7362245454545455
0.54,0.61992,0.813648,0.760073,0.862579,0.675701,0.7415488181818181
0.55,0.621707,0.811932,0.762269,0.867659,0.669106,0.7466281818181817
0.56,0.623494,0.810216,0.764466,0.872738,0.681369,0.7515382727272726
0.57,0.633906,0.8085,0.766662,0.877817,0.67673,0.7558055454545454
0.58,0.642627,0.805955,0.768859,0.882897,0.710079,0.7600162727272728
