x,class-0,class-1,class-2,class-3,class-4,mean
0.7,0.554596,0.503256,0.689655,1,0.117826,0.5691355454545455
0.71,0.513458,0.489648,0.689655,1,0.111617,0.5600836363636363
0.72,0.5,0.477905,0.689655,1,0.106912,0.549799909090909
0.73,0.474327,0.454041,0.689655,0.99072,0.098709,0.5383359090909091
0.74,0.431615,0.433143,0.689655,0.980185,0.0906,0.5262432727272727
0.75,0.413194,0.408696,0.689655,0.96965,0.082633,0.513161
0.76,0.405932,0.392868,0.689655,0.959098,0.078431,0.5003914545454545
0.77,0.390729,0.382032,0.689655,0.914398,0.066572,0.4869078181818182
0.78,0.355045,0.371433,0.689655,0.890694,0.063958,0.4732043636363637
0.79,0.322681,0.371429,0.689655,0.875,0.062402,0.45911427272727273
0.8,0.254487,0.341882,0.689655,0.875,0.060845,0.44486963636363636
0.81,0.219883,0.32761,0.684017,0.872209,0.059289,0.42909627272727274
0.82,0.16513,0.314286,0.676256,0.852364,0.054743,0.41243009090909094
0.83,0.15625,0.314286,0.668496,0.832556,0.049192,0.3955871818181818
0.84,0.142367,0.278743,0.660735,0.813593,0.037059,0.37849800000000006
0.85,0.126123,0.259238,0.63295,0.79463,0.028802,0.3601758181818182
0.86,0.122381,0.20959,0.579204,0.765952,0.019168,0.34137981818181823
0.87,0.112546,0.190147,0.55168,0.742026,0.012944,0.3207676363636364
0.88,0.097014,0.174332,0.508391,0.725294,0.011995,0.29817863636363634
0.89,0.072917,0.149714,0.488774,0.708429,0.011045,0.26986899999999997
0.9,0.064373,0.130449,0.432567,0.675962,0.010096,0.2386364545454545
0.91,0.044926,0.113863,0.400153,0.62,0.009147,0.20540245454545455
0.92,0.037917,0.101143,0.32,0.562083,0.008197,0.17475918181818184
0.93,0.030774,0.088422,0.219218,0.474722,0.007248,0.14549836363636362
0.94,0.019803,0.041247,0.133103,0.269596,0,0.11791609090909091
0.95,0.01684,0,0.05977,0.138095,0,0.09190009090909092
0.96,0.013877,0,0,0,0,0.06801927272727272
0.97,0.010914,0,0,0,0,0.04641763636363636
0.98,0,0,0,0,0,0.02770236363636364
0.99,0,0,0,0,0,0.012786272727272728
1,0,0,0,0,0,0.004354454545454545
