epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,140.106,3.31948,4.36695,4.35381,3.62599,0,0.41535,0.02083,0.00784,0.00182,0.20729,0.08071,0.00286,0.00047,3.52003,3.43728,4.33031,3.6886,0,0.000332425,0.000332425,0.0670899
2,275.284,2.86496,3.39336,3.69004,3.21801,0,0.01934,0.05445,0.01905,0.00451,0.05847,0.07373,0.02802,0.00735,3.11174,2.79661,3.7327,3.45362,0,0.000662463,0.000662463,0.0340866
3,407.975,2.57086,3.1209,3.46241,2.99017,0,0.36243,0.12329,0.09211,0.02412,0.36869,0.11691,0.08304,0.02727,2.78504,3.00239,3.96039,3.16968,0,0.000989201,0.000989201,0.00108003
4,541.835,2.39212,2.93107,3.332,2.85113,0,0.23013,0.1825,0.12764,0.03683,0.3306,0.1814,0.13079,0.05092,2.61298,2.76417,3.47956,3.04179,0,0.00098515,0.00098515,0.00098515
5,676.139,2.27895,2.87857,3.15715,2.71663,0,0.16296,0.20923,0.10492,0.03814,0.1845,0.23531,0.12242,0.05237,2.51385,2.29947,3.44793,2.99651,0,0.0009802,0.0009802,0.0009802
6,810.083,2.18985,2.77406,3.01092,2.62403,0,0.41171,0.27308,0.18738,0.07146,0.41705,0.28002,0.2047,0.09662,2.41181,2.15976,3.05085,2.83282,0,0.00097525,0.00097525,0.00097525
7,944.212,2.09737,2.73298,2.89882,2.53871,0,0.27686,0.29543,0.19413,0.07111,0.28278,0.29519,0.1903,0.07835,2.34749,2.27218,3.0696,2.77531,0,0.0009703,0.0009703,0.0009703
8,1076.82,2.01115,2.6762,2.77063,2.45018,0,0.19519,0.33501,0.18819,0.08278,0.20069,0.30278,0.17732,0.07699,2.18171,2.62901,2.94673,2.67292,0,0.00096535,0.00096535,0.00096535
9,1211.02,1.94296,2.65438,2.70139,2.36223,0,0.38796,0.28014,0.25028,0.09693,0.40854,0.28693,0.26847,0.12349,2.17228,2.08076,2.88955,2.64048,0,0.0009604,0.0009604,0.0009604
10,1344.92,1.90143,2.63036,2.61464,2.3289,0,0.32714,0.34403,0.27511,0.11911,0.3528,0.35566,0.29103,0.13561,2.06704,2.02099,2.66016,2.58503,0,0.00095545,0.00095545,0.00095545
11,1478.85,1.86223,2.56694,2.53347,2.2767,0,0.25871,0.28906,0.23475,0.10661,0.32834,0.25819,0.24893,0.11801,2.22504,2.11925,2.70268,2.62993,0,0.0009505,0.0009505,0.0009505
12,1610.51,1.80685,2.5516,2.4786,2.21685,0,0.40754,0.34427,0.31672,0.13691,0.43797,0.34726,0.31664,0.15249,2.04386,1.99005,2.45517,2.47709,0,0.00094555,0.00094555,0.00094555
13,1744.5,1.76876,2.51965,2.4202,2.17594,0,0.41682,0.33157,0.31637,0.13857,0.45288,0.32993,0.32402,0.15402,2.00678,1.92228,2.53566,2.43064,0,0.0009406,0.0009406,0.0009406
14,1878.67,1.73619,2.51896,2.38551,2.15854,0,0.36123,0.41489,0.33126,0.1565,0.38154,0.44232,0.34429,0.16994,1.92135,1.95317,2.44225,2.38169,0,0.00093565,0.00093565,0.00093565
15,2012.68,1.71628,2.47842,2.34601,2.12827,0,0.36375,0.40796,0.3222,0.1488,0.42308,0.38468,0.33952,0.17129,1.92291,1.97279,2.40528,2.39259,0,0.0009307,0.0009307,0.0009307
16,2144.12,1.68582,2.41778,2.27343,2.09249,0,0.37052,0.3641,0.33295,0.1601,0.38,0.37777,0.35552,0.17655,1.8925,1.85031,2.42268,2.34448,0,0.00092575,0.00092575,0.00092575
17,2277.81,1.64633,2.37625,2.22573,2.06298,0,0.54439,0.31783,0.34836,0.16523,0.42223,0.40009,0.37087,0.17922,1.94555,1.828,2.36144,2.34395,0,0.0009208,0.0009208,0.0009208
18,2411.67,1.6559,2.3595,2.24217,2.04857,0,0.51299,0.40024,0.40163,0.19395,0.55386,0.38919,0.43042,0.21123,1.80681,1.93333,2.29109,2.29143,0,0.00091585,0.00091585,0.00091585
19,2544.91,1.60185,2.32749,2.15253,2.0142,0,0.52491,0.38303,0.42548,0.19957,0.58025,0.39889,0.43487,0.21723,1.82069,1.87087,2.17672,2.24164,0,0.0009109,0.0009109,0.0009109
20,2678.4,1.61371,2.31826,2.1825,2.00178,0,0.44304,0.4252,0.41498,0.19473,0.44645,0.42182,0.42429,0.20724,1.81346,1.82857,2.23629,2.22348,0,0.00090595,0.00090595,0.00090595
21,2811.31,1.57352,2.32169,2.11958,1.98644,0,0.39877,0.41255,0.41669,0.19787,0.41102,0.43184,0.42777,0.21534,1.80805,1.82149,2.20158,2.22641,0,0.000901,0.000901,0.000901
