epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4798,3.31553,4.44269,4.54608,3.60541,0,0.21791,0.03672,0.01072,0.00217,0.21078,0.04583,0.01115,0.00213,3.44823,3.54125,4.31762,3.72638,0,0.000332425,0.000332425,0.0670899
2,114.228,2.93407,3.43098,3.88511,3.28073,0,0.237,0.06066,0.01535,0.00284,0.24315,0.05208,0.01675,0.00602,3.29783,3.49594,4.18476,3.47042,0,0.000662463,0.000662463,0.0340866
3,210.213,2.66957,3.16276,3.61422,3.04183,0,0.12928,0.11187,0.05242,0.01556,0.16405,0.15084,0.07965,0.02583,3.05489,2.60668,3.83209,3.25002,0,0.000989201,0.000989201,0.00108003
4,317.452,2.49471,2.9733,3.46608,2.87658,0,0.12392,0.16762,0.06836,0.01969,0.14537,0.17722,0.0804,0.02475,2.61159,2.59024,3.92472,3.01376,0,0.00098515,0.00098515,0.00098515
5,424.352,2.3676,2.90909,3.26905,2.71684,0,0.17234,0.24378,0.07363,0.03067,0.21315,0.24647,0.08418,0.03961,2.62406,2.69145,5.00843,3.00083,0,0.0009802,0.0009802,0.0009802
6,532.802,2.25972,2.86002,3.13949,2.59787,0,0.17397,0.20951,0.10358,0.03989,0.17458,0.20638,0.11174,0.05301,2.42821,2.32639,3.91108,2.78882,0,0.00097525,0.00097525,0.00097525
7,642.384,2.15569,2.79943,2.97787,2.50032,0,0.22716,0.27379,0.17227,0.05754,0.23207,0.26052,0.16799,0.07239,2.27368,2.21338,3.05072,2.70745,0,0.0009703,0.0009703,0.0009703
8,749.93,2.0802,2.72849,2.85001,2.4019,0,0.62251,0.24108,0.22398,0.09114,0.60079,0.26646,0.24282,0.10837,2.16978,2.27509,3.18546,2.56971,0,0.00096535,0.00096535,0.00096535
9,857.489,1.99836,2.70841,2.75092,2.31772,0,0.28907,0.26174,0.18177,0.07498,0.34969,0.28166,0.21015,0.094,2.31724,2.16552,3.31415,2.62329,0,0.0009604,0.0009604,0.0009604
10,965.453,1.93516,2.65453,2.65464,2.26323,0,0.32559,0.29797,0.2444,0.11199,0.27083,0.3325,0.23705,0.11127,2.13203,2.16191,2.763,2.4645,0,0.00095545,0.00095545,0.00095545
