epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,214.589,3.41967,4.34987,4.41572,3.53575,0,0.80478,0.02083,0.00295,0.00067,0.00184,0.16896,0.00123,0.00016,3.6904,4.02451,5.01133,3.85191,0,0.000332879,0.000332879,0.067045
2,424.55,2.94087,3.66248,3.86915,3.24549,0,0.25025,0.0949,0.03127,0.01229,0.27813,0.06573,0.04374,0.01626,3.00124,2.87909,4.55848,3.3559,0,0.000662915,0.000662915,0.0340417
3,632.348,2.70149,3.4334,3.70434,3.05802,0,0.48291,0.06497,0.07459,0.01981,0.48937,0.05948,0.07976,0.02451,2.91204,2.95744,4.11366,3.23048,0,0.00098965,0.00098965,0.00103506
4,838.618,2.55226,3.25366,3.5275,2.93331,0,0.29667,0.13681,0.08146,0.02703,0.31762,0.17964,0.09083,0.03651,2.70211,2.68776,4.0167,3.10571,0,0.00098515,0.00098515,0.00098515
5,1042,2.46058,3.17845,3.39958,2.81486,0,0.27138,0.19425,0.0693,0.02194,0.31747,0.1699,0.10097,0.02913,2.55814,2.48681,3.45847,2.93768,0,0.0009802,0.0009802,0.0009802
6,1248.82,2.35158,3.03227,3.24304,2.69001,0,0.36939,0.19031,0.10081,0.04324,0.38889,0.18468,0.10026,0.04482,2.36129,2.42181,3.43405,2.77365,0,0.00097525,0.00097525,0.00097525
7,1455.33,2.27485,3.01193,3.14033,2.61913,0,0.29186,0.20031,0.14134,0.04962,0.25457,0.1912,0.13756,0.05998,2.35137,2.32425,3.10928,2.75482,0,0.0009703,0.0009703,0.0009703
8,1661.64,2.20905,2.9373,3.0229,2.52156,0,0.24746,0.28759,0.17169,0.06984,0.24801,0.29085,0.177,0.07613,2.34417,2.32469,3.18399,2.72536,0,0.00096535,0.00096535,0.00096535
9,1865,2.13175,2.88783,2.9173,2.45747,0,0.36885,0.25729,0.21885,0.08007,0.37756,0.26174,0.22074,0.10235,2.26549,2.1951,3.07551,2.58669,0,0.0009604,0.0009604,0.0009604
10,2071.53,2.09618,2.84526,2.90225,2.41942,0,0.44736,0.25405,0.21665,0.0824,0.49127,0.24266,0.22251,0.09618,2.2382,2.12718,2.93601,2.53593,0,0.00095545,0.00095545,0.00095545
11,2278.6,2.051,2.77508,2.80206,2.38184,0,0.24949,0.3166,0.23384,0.09446,0.21163,0.30637,0.23151,0.10369,2.18662,2.21565,2.90919,2.51179,0,0.0009505,0.0009505,0.0009505
12,2485.77,1.99884,2.78589,2.74901,2.32981,0,0.38626,0.2782,0.2405,0.10338,0.40505,0.28923,0.26079,0.11484,2.19302,2.11272,2.74218,2.4846,0,0.00094555,0.00094555,0.00094555
13,2656.11,1.95247,2.7489,2.65798,2.28163,0,0.47111,0.28394,0.26622,0.12442,0.46481,0.26702,0.25796,0.12515,2.05819,2.25768,2.60406,2.42017,0,0.0009406,0.0009406,0.0009406
14,2762.12,1.91653,2.69802,2.60915,2.24134,0,0.33545,0.32649,0.27309,0.14049,0.33334,0.32297,0.27182,0.14088,2.07444,2.3043,2.64907,2.36531,0,0.00093565,0.00093565,0.00093565
15,2866.47,1.88501,2.69265,2.58421,2.21684,0,0.54035,0.28868,0.32774,0.15356,0.40931,0.31543,0.3105,0.15699,2.08114,2.0558,2.62054,2.3919,0,0.0009307,0.0009307,0.0009307
16,2970.85,1.86951,2.62923,2.51814,2.17833,0,0.33185,0.35946,0.29127,0.13884,0.35286,0.35517,0.31425,0.1536,2.09183,2.01287,2.60659,2.35914,0,0.00092575,0.00092575,0.00092575
17,3076.23,1.82919,2.62767,2.47266,2.16482,0,0.56321,0.27786,0.30103,0.14473,0.36642,0.28579,0.29579,0.15352,2.05685,1.96961,2.505,2.31639,0,0.0009208,0.0009208,0.0009208
18,3181.36,1.82158,2.61513,2.46511,2.12967,0,0.42365,0.40621,0.38019,0.19065,0.45599,0.43201,0.38694,0.18787,1.83241,2.0001,2.41957,2.18443,0,0.00091585,0.00091585,0.00091585
19,3286.82,1.78342,2.57866,2.38449,2.09092,0,0.52126,0.31859,0.38651,0.20024,0.53883,0.32614,0.36947,0.18972,1.83344,1.96669,2.37186,2.13072,0,0.0009109,0.0009109,0.0009109
20,3391.11,1.76872,2.48658,2.33727,2.07912,0,0.52386,0.36909,0.3901,0.18544,0.63187,0.33202,0.37567,0.19682,1.93533,2.01099,2.30119,2.21921,0,0.00090595,0.00090595,0.00090595
21,3496.18,1.72682,2.51061,2.31828,2.05737,0,0.49427,0.37826,0.40063,0.20038,0.52783,0.3776,0.39701,0.20714,1.85433,1.89432,2.34318,2.14127,0,0.000901,0.000901,0.000901
22,3600.76,1.72828,2.53948,2.31916,2.06208,0,0.38314,0.44924,0.3668,0.19255,0.50694,0.38035,0.38642,0.19364,1.83911,2.04205,2.28975,2.12786,0,0.00089605,0.00089605,0.00089605
23,3703.43,1.71085,2.52237,2.31311,2.03779,0,0.39382,0.39763,0.3981,0.21648,0.3777,0.3951,0.37728,0.21225,1.84088,1.8407,2.2336,2.19041,0,0.0008911,0.0008911,0.0008911
24,3807.93,1.68921,2.50787,2.25892,2.02328,0,0.47417,0.4676,0.43678,0.24353,0.50645,0.44322,0.43806,0.24203,1.7679,1.93121,2.18422,2.07745,0,0.00088615,0.00088615,0.00088615
25,3913.95,1.66677,2.46693,2.21564,2.00059,0,0.42551,0.42122,0.39391,0.2186,0.45906,0.44527,0.42938,0.21857,1.75532,1.8844,2.18983,2.04237,0,0.0008812,0.0008812,0.0008812
26,4018.84,1.67051,2.44882,2.19603,1.99814,0,0.58079,0.39899,0.4453,0.23518,0.5962,0.41509,0.44923,0.2356,1.78251,1.77636,2.19146,2.0854,0,0.00087625,0.00087625,0.00087625
27,4123.56,1.64138,2.4472,2.18723,1.97651,0,0.436,0.49435,0.4349,0.23164,0.38447,0.47976,0.42212,0.21797,1.69002,1.78404,2.24773,1.98857,0,0.0008713,0.0008713,0.0008713
28,4228.85,1.61572,2.45322,2.16891,1.9592,0,0.53655,0.47017,0.47161,0.26633,0.57193,0.45291,0.46489,0.25027,1.65036,1.80563,2.07721,1.99294,0,0.00086635,0.00086635,0.00086635
29,4334.65,1.59655,2.41191,2.13026,1.93277,0,0.53697,0.46534,0.47631,0.27064,0.54999,0.46561,0.4747,0.26415,1.61861,1.77671,2.0308,1.96877,0,0.0008614,0.0008614,0.0008614
30,4438.6,1.5999,2.37511,2.09358,1.93974,0,0.49813,0.49169,0.48812,0.27268,0.54991,0.479,0.47641,0.26192,1.6387,1.87239,2.00808,1.97437,0,0.00085645,0.00085645,0.00085645
31,4542.84,1.57236,2.34166,2.06223,1.91217,0,0.49825,0.47177,0.49626,0.2898,0.53876,0.4485,0.48113,0.27986,1.64952,1.79529,2.02512,1.96202,0,0.0008515,0.0008515,0.0008515
32,4648.22,1.57869,2.35531,2.07421,1.90664,0,0.47359,0.53549,0.50295,0.28395,0.54874,0.48569,0.49472,0.28107,1.61174,1.72151,1.91755,1.89209,0,0.00084655,0.00084655,0.00084655
33,4754.09,1.57358,2.37837,2.07246,1.90419,0,0.60464,0.45086,0.50822,0.28366,0.62462,0.46649,0.50303,0.26951,1.63749,1.88694,1.95598,1.9406,0,0.0008416,0.0008416,0.0008416
34,4859.74,1.54285,2.3599,2.0281,1.89048,0,0.72485,0.41111,0.50383,0.28842,0.66338,0.45727,0.5037,0.27843,1.70166,1.76878,2.00945,1.98179,0,0.00083665,0.00083665,0.00083665
35,4963.54,1.50853,2.3095,1.98828,1.86385,0,0.52454,0.46149,0.50102,0.30184,0.5454,0.47172,0.49954,0.28831,1.62468,1.74353,2.00213,1.8981,0,0.0008317,0.0008317,0.0008317
36,5067.29,1.51962,2.31528,1.9956,1.85945,0,0.70302,0.51101,0.54631,0.32688,0.72041,0.51617,0.55163,0.30989,1.56857,1.71892,1.88473,1.87919,0,0.00082675,0.00082675,0.00082675
37,5170.92,1.53129,2.34343,2.01312,1.86463,0,0.67866,0.47388,0.53268,0.30181,0.68499,0.45589,0.50905,0.28357,1.64171,1.80852,1.94121,1.89772,0,0.0008218,0.0008218,0.0008218
38,5275.74,1.50047,2.31424,1.95215,1.83595,0,0.72012,0.49517,0.53202,0.3225,0.73794,0.48084,0.52422,0.29485,1.57684,1.73548,1.93339,1.86199,0,0.00081685,0.00081685,0.00081685
39,5381.27,1.51477,2.31378,1.96191,1.84881,0,0.46157,0.55163,0.52953,0.30975,0.51323,0.4906,0.50101,0.28601,1.61832,1.79863,1.91223,1.88176,0,0.0008119,0.0008119,0.0008119
40,5485.73,1.47213,2.25855,1.90089,1.81628,0,0.54314,0.5479,0.52398,0.30637,0.55512,0.51254,0.50829,0.29244,1.6179,1.68619,1.90744,1.87419,0,0.00080695,0.00080695,0.00080695
41,5590.36,1.49984,2.26295,1.92363,1.8267,0,0.57425,0.49729,0.51863,0.31279,0.60567,0.49187,0.5071,0.29389,1.59915,1.69182,1.89515,1.86796,0,0.000802,0.000802,0.000802
42,5695.29,1.46166,2.25851,1.9028,1.81439,0,0.68564,0.5345,0.56957,0.33694,0.68914,0.51101,0.5548,0.32248,1.59896,1.67866,1.84372,1.84072,0,0.00079705,0.00079705,0.00079705
43,5799.61,1.46188,2.22473,1.89389,1.80292,0,0.7206,0.501,0.56184,0.33566,0.70826,0.49357,0.55868,0.32252,1.58614,1.68497,1.79774,1.88237,0,0.0007921,0.0007921,0.0007921
44,5903.15,1.4639,2.23035,1.88756,1.81107,0,0.70854,0.57092,0.58997,0.35269,0.69235,0.54105,0.56969,0.33682,1.5338,1.70235,1.75742,1.80782,0,0.00078715,0.00078715,0.00078715
45,6006.67,1.44249,2.22108,1.85392,1.78578,0,0.68521,0.47742,0.55388,0.34445,0.65167,0.48363,0.54653,0.32454,1.52847,1.63192,1.81748,1.81592,0,0.0007822,0.0007822,0.0007822
46,6110.6,1.43254,2.20215,1.83012,1.78749,0,0.69014,0.48868,0.53483,0.31654,0.69265,0.49339,0.53926,0.31709,1.52937,1.64341,1.86264,1.83738,0,0.00077725,0.00077725,0.00077725
47,6214.23,1.4328,2.2335,1.84223,1.78283,0,0.66281,0.50089,0.5487,0.3286,0.64024,0.48923,0.52514,0.31449,1.57375,1.63717,1.84834,1.85152,0,0.0007723,0.0007723,0.0007723
48,6318.01,1.4209,2.19354,1.82398,1.77454,0,0.68345,0.5111,0.56188,0.35506,0.65321,0.4917,0.54675,0.33985,1.49764,1.65008,1.75299,1.80839,0,0.00076735,0.00076735,0.00076735
49,6421.85,1.43791,2.2286,1.8233,1.78303,0,0.60246,0.55784,0.54152,0.33529,0.59146,0.53078,0.54088,0.3281,1.57497,1.65247,1.81485,1.839,0,0.0007624,0.0007624,0.0007624
50,6525.53,1.42157,2.17175,1.82051,1.76831,0,0.62308,0.537,0.56333,0.33931,0.60447,0.54711,0.55075,0.3236,1.56008,1.61363,1.77623,1.80876,0,0.00075745,0.00075745,0.00075745
51,6630.02,1.43836,2.21203,1.81408,1.76564,0,0.70428,0.48277,0.55902,0.34078,0.70967,0.48386,0.54411,0.32948,1.56629,1.61251,1.77423,1.80924,0,0.0007525,0.0007525,0.0007525
52,6733.65,1.41142,2.17807,1.78519,1.75379,0,0.60746,0.58024,0.57787,0.35222,0.60211,0.56433,0.55795,0.34501,1.52946,1.58105,1.75762,1.8166,0,0.00074755,0.00074755,0.00074755
53,6838.72,1.42639,2.1721,1.81706,1.76713,0,0.64658,0.54946,0.57408,0.34846,0.63953,0.52521,0.564,0.33657,1.51618,1.5843,1.719,1.8031,0,0.0007426,0.0007426,0.0007426
54,6941.62,1.38363,2.11588,1.73867,1.72668,0,0.6534,0.57371,0.58698,0.35904,0.64852,0.54342,0.577,0.3404,1.50016,1.58937,1.71668,1.79301,0,0.00073765,0.00073765,0.00073765
55,7044.95,1.3747,2.15384,1.75139,1.74255,0,0.6895,0.55985,0.59333,0.3601,0.68536,0.549,0.57809,0.35212,1.54753,1.60392,1.71009,1.78716,0,0.0007327,0.0007327,0.0007327
56,7149.97,1.41307,2.19715,1.79825,1.75758,0,0.69696,0.55477,0.58249,0.36058,0.65282,0.54417,0.57517,0.34586,1.47786,1.61048,1.68525,1.76623,0,0.00072775,0.00072775,0.00072775
57,7255.6,1.39069,2.13756,1.74408,1.73661,0,0.58879,0.61477,0.60684,0.3671,0.62663,0.57655,0.58947,0.35036,1.45781,1.62114,1.66161,1.75032,0,0.0007228,0.0007228,0.0007228
58,7360.87,1.37193,2.11373,1.72838,1.72559,0,0.6032,0.57762,0.58752,0.36734,0.60819,0.56887,0.57342,0.35054,1.49016,1.59009,1.66755,1.7419,0,0.00071785,0.00071785,0.00071785
59,7465.53,1.38632,2.15942,1.74007,1.72195,0,0.77084,0.50719,0.58926,0.37378,0.74483,0.5133,0.58445,0.34268,1.46379,1.57688,1.64105,1.73806,0,0.0007129,0.0007129,0.0007129
60,7569.88,1.35809,2.10679,1.68674,1.71415,0,0.81531,0.53318,0.60615,0.37358,0.8222,0.53443,0.59608,0.35134,1.45953,1.59301,1.67823,1.75954,0,0.00070795,0.00070795,0.00070795
61,7674.36,1.35229,2.12988,1.69228,1.71451,0,0.73326,0.55662,0.59133,0.3697,0.73048,0.55364,0.57688,0.34053,1.46371,1.59244,1.62379,1.76352,0,0.000703,0.000703,0.000703
62,7779.43,1.34093,2.0569,1.67495,1.6928,0,0.69981,0.55971,0.59616,0.36522,0.70175,0.55121,0.58143,0.3548,1.48402,1.58415,1.64551,1.77637,0,0.00069805,0.00069805,0.00069805
63,7886.01,1.34778,2.12466,1.70702,1.70464,0,0.74005,0.56698,0.60843,0.37212,0.80248,0.53487,0.59397,0.35645,1.49651,1.55436,1.63572,1.75736,0,0.0006931,0.0006931,0.0006931
64,7991.74,1.32769,2.07377,1.66986,1.68735,0,0.68138,0.5865,0.58992,0.35553,0.66514,0.58156,0.58749,0.35697,1.46734,1.56406,1.67628,1.74391,0,0.00068815,0.00068815,0.00068815
