epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,101.983,3.41982,4.62,4.627,3.65772,0,0.00153,0.20248,0.00247,0.00054,0.00454,0.04867,0.00103,0.00019,3.70365,3.74725,4.94043,3.81942,0,0.000332425,0.000332425,0.0670899
2,198.486,3.03817,3.78049,3.95694,3.30376,0,0.01653,0.06046,0.00664,0.00174,0.01698,0.07225,0.00375,0.00096,3.50605,3.23355,4.69218,3.78564,0,0.000662463,0.000662463,0.0340866
3,294.669,2.77006,3.42338,3.67467,3.12199,0,0.42728,0.10507,0.06472,0.01892,0.4319,0.11863,0.0746,0.02811,2.90799,2.83243,3.91389,3.26167,0,0.000989201,0.000989201,0.00108003
4,389.98,2.58898,3.24511,3.56005,2.98989,0,0.18142,0.11599,0.08254,0.02717,0.07857,0.11048,0.0852,0.03066,2.77586,2.74325,3.57073,3.10534,0,0.00098515,0.00098515,0.00098515
5,485.269,2.49951,3.14848,3.35549,2.83433,0,0.26026,0.17169,0.08072,0.01912,0.25335,0.16466,0.0771,0.0301,2.61702,2.82712,3.89348,3.00929,0,0.0009802,0.0009802,0.0009802
6,581.267,2.42529,3.0511,3.2246,2.74905,0,0.17598,0.26289,0.11558,0.03665,0.18216,0.2552,0.11973,0.04791,2.50261,2.41447,3.28171,2.91566,0,0.00097525,0.00097525,0.00097525
7,676.973,2.33689,2.97129,3.07183,2.66405,0,0.22638,0.27796,0.17008,0.06029,0.18994,0.23542,0.13707,0.0621,2.43158,2.66549,3.25513,2.81769,0,0.0009703,0.0009703,0.0009703
8,773.075,2.23602,2.95944,2.9781,2.56583,0,0.39065,0.26056,0.15386,0.05041,0.40298,0.23884,0.15405,0.07285,2.40106,2.61287,3.64898,2.82695,0,0.00096535,0.00096535,0.00096535
9,868.381,2.16498,2.9163,2.88773,2.47223,0,0.33104,0.28941,0.21395,0.08914,0.38859,0.28694,0.22371,0.08449,2.27322,2.43231,2.90662,2.64707,0,0.0009604,0.0009604,0.0009604
10,963.898,2.08149,2.84659,2.75755,2.40316,0,0.22805,0.32985,0.20135,0.08228,0.23186,0.26344,0.15197,0.06757,2.36501,2.74993,2.96923,2.69051,0,0.00095545,0.00095545,0.00095545
11,1059.17,2.06367,2.77564,2.71916,2.37328,0,0.25731,0.29348,0.22014,0.10376,0.3188,0.28568,0.22459,0.10371,2.26547,2.50707,2.85228,2.5751,0,0.0009505,0.0009505,0.0009505
12,1155.25,1.99218,2.7585,2.62583,2.30617,0,0.29944,0.33988,0.27974,0.11881,0.37653,0.33202,0.28938,0.13008,2.11392,2.12862,2.66149,2.47397,0,0.00094555,0.00094555,0.00094555
13,1251.43,1.95403,2.73612,2.55789,2.26687,0,0.39783,0.37379,0.31402,0.14915,0.46285,0.39841,0.34194,0.15942,2.03119,2.09876,2.57952,2.39112,0,0.0009406,0.0009406,0.0009406
14,1346.9,1.89417,2.6965,2.51082,2.22627,0,0.47514,0.27662,0.32142,0.14485,0.34983,0.34082,0.32784,0.15476,1.99885,2.02983,2.73752,2.32644,0,0.00093565,0.00093565,0.00093565
15,1441.9,1.84817,2.65986,2.45686,2.18307,0,0.48947,0.37353,0.33805,0.15731,0.4884,0.35686,0.33189,0.15996,2.01147,2.11902,2.47332,2.35395,0,0.0009307,0.0009307,0.0009307
16,1537.63,1.82041,2.61234,2.37126,2.14655,0,0.4192,0.35465,0.33464,0.14854,0.43647,0.3568,0.33039,0.151,1.89258,1.99873,2.39681,2.24279,0,0.00092575,0.00092575,0.00092575
17,1633.64,1.78267,2.5597,2.3223,2.11789,0,0.46333,0.4056,0.37404,0.16885,0.46661,0.45371,0.40333,0.18562,1.96296,1.95764,2.50755,2.26921,0,0.0009208,0.0009208,0.0009208
18,1729.89,1.79728,2.55711,2.33403,2.0894,0,0.35266,0.45196,0.37637,0.18857,0.38206,0.40806,0.36949,0.18848,1.87264,2.00512,2.25403,2.15696,0,0.00091585,0.00091585,0.00091585
