epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,126.707,3.41484,4.57052,4.61183,3.5932,0,0.20066,0.02292,0.00054,0.00017,8e-05,0.03125,0.00017,7e-05,3.82123,3.99183,5.1384,3.86735,0,0.000332425,0.000332425,0.0670899
2,249.092,2.98531,3.77261,3.92774,3.19462,0,0.22119,0.07426,0.01985,0.00585,0.23629,0.04897,0.02924,0.00731,3.2239,3.2079,4.23324,3.44525,0,0.000662463,0.000662463,0.0340866
3,371.014,2.69581,3.43694,3.63068,2.96167,0,0.32096,0.08946,0.03022,0.01094,0.31752,0.11106,0.04016,0.01486,2.94607,2.98292,4.01769,3.16091,0,0.000989201,0.000989201,0.00108003
4,492.476,2.52065,3.22399,3.46963,2.84093,0,0.32906,0.11027,0.07932,0.02636,0.41,0.10765,0.09592,0.03315,2.68964,2.63325,3.45548,3.10033,0,0.00098515,0.00098515,0.00098515
5,613.556,2.41327,3.14842,3.3008,2.70608,0,0.33676,0.11103,0.04892,0.02016,0.3535,0.12755,0.08774,0.02856,2.81925,2.86357,4.23832,3.0579,0,0.0009802,0.0009802,0.0009802
6,734.427,2.34159,3.09847,3.18462,2.62587,0,0.37554,0.18309,0.1211,0.04523,0.35589,0.18101,0.11986,0.06208,2.76836,2.61465,3.40283,3.02373,0,0.00097525,0.00097525,0.00097525
7,855.94,2.22737,3.00025,3.04598,2.53728,0,0.15736,0.26522,0.08953,0.02846,0.16222,0.20188,0.08116,0.02355,2.3707,2.84629,3.57542,2.83836,0,0.0009703,0.0009703,0.0009703
8,977.301,2.16668,2.93875,2.9299,2.47089,0,0.36779,0.28869,0.16335,0.06253,0.44916,0.23047,0.20125,0.08234,2.38457,2.41064,3.36668,2.76333,0,0.00096535,0.00096535,0.00096535
9,1098.29,2.12975,2.92837,2.86022,2.41126,0,0.13937,0.21676,0.11232,0.04051,0.16719,0.22932,0.12852,0.0584,2.43675,2.53548,3.54062,2.70935,0,0.0009604,0.0009604,0.0009604
10,1219.53,2.04353,2.84772,2.75972,2.3377,0,0.28828,0.33327,0.235,0.09985,0.25752,0.35058,0.24126,0.11195,2.33751,2.3616,3.50144,2.61873,0,0.00095545,0.00095545,0.00095545
11,1339.85,2.01133,2.78882,2.68815,2.30147,0,0.47683,0.26043,0.2076,0.09259,0.53238,0.26165,0.23617,0.11004,2.16264,2.15071,2.97199,2.59765,0,0.0009505,0.0009505,0.0009505
12,1460.81,1.95821,2.73448,2.63374,2.2455,0,0.27852,0.30164,0.22924,0.10003,0.27149,0.31146,0.23403,0.10987,2.18921,2.18929,2.90387,2.57485,0,0.00094555,0.00094555,0.00094555
13,1581.84,1.94065,2.73341,2.54794,2.20748,0,0.34321,0.32252,0.2926,0.11875,0.41495,0.34385,0.32141,0.14034,2.11377,2.06995,2.80868,2.49767,0,0.0009406,0.0009406,0.0009406
14,1703.49,1.8771,2.68811,2.50543,2.17076,0,0.53345,0.37078,0.31888,0.12911,0.54485,0.37382,0.32989,0.15571,2.06803,1.99507,2.5417,2.37191,0,0.00093565,0.00093565,0.00093565
15,1824.93,1.86168,2.66237,2.48494,2.15208,0,0.57244,0.29103,0.26369,0.11941,0.31532,0.32517,0.2604,0.12171,2.16395,2.46503,2.74266,2.47649,0,0.0009307,0.0009307,0.0009307
16,1946.5,1.80855,2.63502,2.40508,2.09497,0,0.60714,0.32802,0.32497,0.1587,0.65861,0.33525,0.34778,0.17347,1.93766,2.03366,2.49715,2.32694,0,0.00092575,0.00092575,0.00092575
17,2067.33,1.78016,2.58513,2.34614,2.08065,0,0.38481,0.4002,0.34926,0.17023,0.35808,0.41593,0.35542,0.17436,2.00552,1.97693,2.44183,2.35008,0,0.0009208,0.0009208,0.0009208
18,2188.7,1.7975,2.56548,2.35171,2.06212,0,0.34559,0.42901,0.36967,0.17094,0.38916,0.44288,0.38946,0.19396,1.90106,1.96936,2.56438,2.30855,0,0.00091585,0.00091585,0.00091585
19,2310.24,1.73711,2.50104,2.28407,2.02047,0,0.56667,0.4037,0.4021,0.19502,0.58867,0.42427,0.40391,0.19625,1.93032,2.08475,2.39477,2.29119,0,0.0009109,0.0009109,0.0009109
20,2431.75,1.73543,2.50217,2.271,2.00923,0,0.36569,0.47739,0.40526,0.19598,0.40652,0.46087,0.41198,0.20229,1.84818,1.98168,2.38654,2.21163,0,0.00090595,0.00090595,0.00090595
21,2553.51,1.72768,2.5058,2.24356,2.00254,0,0.43494,0.39521,0.40417,0.20054,0.45277,0.38577,0.41906,0.20632,1.86472,1.97878,2.37994,2.21159,0,0.000901,0.000901,0.000901
22,2675.14,1.67031,2.46742,2.18217,1.95699,0,0.63032,0.37414,0.37723,0.17928,0.69145,0.3659,0.36656,0.17715,1.93535,2.16322,2.35182,2.34131,0,0.00089605,0.00089605,0.00089605
23,2796.15,1.66329,2.45632,2.18196,1.94759,0,0.39834,0.5167,0.43822,0.22088,0.40734,0.51249,0.44904,0.23772,1.83154,1.88783,2.26774,2.19472,0,0.0008911,0.0008911,0.0008911
